哀悼	参加追悼会的人向死者表示深切的哀悼。//$
看待	把他们当亲兄弟一样看待。/我们应该把朋友的事当自己的事一样看待。/我不管别人怎样看待这件事。/我们要公平地看待每一个人。//$
看得起	大家看得起我，让我当了个组长。/他那么骄傲，看得起谁呀?/$
看做	把我们看做朋友。/不要把对方看做敌人。/要把动物看做人类的朋友。/他把爸爸看做自己的榜样。//$
看望	回家看望父母。/看望老师。/三年来，他只回老家看望过父母一次。/我去医院看望一个住院的朋友。//$
看	你去看看谁在外边。/这儿的东西只能看，不能动。/他看了看表，还有十分钟就要上课了。//$我看他不像坏人。/你看这个方案可行吗?。/外边下雨了，我看咱们还是别去了。//$你怎么看这件事?。/你不要这样看他，他还是有一些优点的。/家里人这样看我，真让我伤心。/不管别人怎么看，她都专心做自己的事。//$医生把他的病看好了。/你的病应该到医院去看看。/你得去看大夫了。/年轻的大夫不知道这种病该怎么看。/这位医生专门看内科。//$我去他家看了他三次。/后天，他要去医院看病人。/老人想出去看看老朋友。//$
康复	他的身体渐渐康复了。/他还没有康复。/康复以后他就开始工作了。/等到完全康复你才可以出院。/老王已经康复一个多月了。//$
扛	把包扛到楼上。/扛的时间太长，肩膀扛肿了。/箱子太沉了，我扛不动。/他一个人就把这么重的石头扛走了。//$
抗	这儿的植物都很抗冻，冬天也不会落叶。//$这种材料抗腐蚀。/抗税是犯法的。/$
抗拒	军队不能抗拒上级的命令。/任何人都不能抗拒历史发展的潮流。//$
抗议	群众对这种侵略行为表示强烈的抗议。/我们的抗议得到了整个社会的支持。/$
考	我的朋友考上大学了。/我提个问题考考你。/你考不倒我，这些问题我早就知道了/$
考试	我们明天考试。/考试的时候别紧张。/$
考查	上级派人来考查。/每年考查一次。/考查学生的成绩。/考查老师的普通话水平。/经过考查评比，他们班被评为先进集体。/学校一般用各种考试来考查学生的学习情况。//$
考察	工程师到工地考察工程进展情况。/经过考察，专家提出了修改计划。/这次考察我们都很有收获。/$科学研究需要进行细心的考察和思考。/在考察研究的基础上提出观点。//$
考勤	老师每天都考勤。/公司采取新的考勤办法。//$
考验	在艰苦的环境里考验年轻人的意志。/战争考验了军队的战斗力。/经受不住考验的人就是失败者。/经过战争的考验，士兵们更坚强了。//$
考虑	让我考虑考虑再告诉你吧。/这个问题很重要，你要认真考虑一下。/没有经过考虑，他就答应了对方的要求。//$
考证	考证文物的年代。/这幅画的作者是谁还需要进一步考证。/对历史问题进行考证。/经过一番考证，历史学家对这个问题得出了正确的结论。///$
拷打	他被拷打得多处受伤。/他一次又一次被拷打，就是不开口。/拷打犯人是犯法的。/尽管受到多次拷打，他也不承认自己有罪。//$
拷贝	电脑自动拷贝。/把文件拷贝到磁盘上。/你帮我把那个文件拷贝一份可以吗?/$拷一份文件。/拷一张磁盘。//$
烤	烤熟了湿衣服烤干了。/他把面包烤煳了。/妈妈正在烤肉。/他在火炉前烤了半天，身上才感觉到暖和了。//$
铐	把犯人铐起来。/小偷儿被警察铐了起来。/警察先把他铐在铁门上，又去追他的同伙。/犯人的手被铐得死死的，一点儿也不能动。/$
靠	在椅子上靠一靠。/孩子靠在妈妈怀里睡着了。/我们背靠背坐着说话。/张老师喜欢靠着桌子讲课。//$他把木头靠在墙上。/被风刮断的树靠在旁边的树上。/这个柜子不结实，要靠墙放，要不立不住。//$学习外语得靠自己的努力，不能完全靠老师。/这儿的农民靠种菜生活。/他靠自己的能力取得了成功。/$这个人靠不住。/这个消息靠得住吗?//$这个小城靠海。/风大，船靠不了岸。/靠山口的地方风比较大。/让船往左边靠靠。/请大家靠边儿走。//$
苛求	别太苛求。/不必苛求。/不要苛求每件事都做得很好。/我不喜欢苛求别人。/孩子还小，有些事情不能苛求。//$
磕	头被木头磕了一下。/打球时不小心把脸磕破了。/花瓶的边儿磕掉了一块。/小时候磕的疤现在还能看出来。//$
瞌睡	昨晚没睡好觉，今天白天总打瞌睡。/刚才我打了一会儿瞌睡。/我都打瞌睡了，不想再玩儿了。/夜里没睡好，白天瞌睡得很。//$
咳	咳得这么厉害，去看看医生吧。/咳得说不出话来。/咳了多久了，有没有痰?。/他咳出一口血。/他咳了一下，提醒儿子不要再说了。//$
咳嗽	咳嗽止住了没有?。/他感冒了，一直不停地咳嗽。/如果咳嗽、发烧，就一定要去看医生。/老王咳嗽得眼泪都出来了。/我咳嗽两天了。//$
可	这本书可看。/这里有不少可游览的地方。/我没有什么可补充的。//$
可怜	不要可怜坏人。/这些人不值得可怜。/我们都很可怜那个失去妈妈的孩子。/她很可怜那个孩子，就把他留在了家里。/$
可以	只要努力，是可以学会的。/现在走，还可以赶上汽车。/他可以扛起一百多公斤重的箱子。/他可以开汽车，也可以开飞机。/$明天你可以跟我们一起去。/比赛可以开始了。/好吧，你们可以走了。/你可以来，也可以不来。/$
渴求	经历过战争的人们渴求和平。/孩子们渴求知识，但贫困使一些孩子失去了读书的机会。//$
渴望	我们都渴望能尽快见到他。/渴望美好的生活。/山区的孩子们渴望能学电脑。/孩子们眼睛里充满了对知识的渴望。//$
克服	缺点都克服了。/我们要不断克服自己的缺点。/教育孩子克服不良习惯。/他连这点儿困难都克服不了，怎么能完成任务。//$
刻	在石头上刻了一条龙。/碑上刻的是一首诗。/昨天他给我刻了一枚图章。/请不要在树上乱刻。//$
刻画	在古迹上胡乱刻画是破坏行为。/不能在墙壁上随便刻画。/艺术家在石块上刻画出美丽的图案。/$刻画人物的内心活动。/演员刻画出了人物的反抗性格。/人物形象刻画得很细致。/小说里刻画了很多鲜明的形象。//$
客气	<pra=s>对人说客气的话，或做些比较客气的动作</pra=s>：别客气，您随便坐吧。/不要跟我客气，都老朋友啦。/他们客气了一番，才坐下谈生意。/多年的老邻居了，今天怎么对我客气起来了?/$
肯	只要你肯干，肯定能挣到钱。/他怎么也不肯来我家。/你肯不肯和我一起去?肯。/$
肯定	专家们一致肯定了这项建议。/领导肯定了他的工作。/我们既要肯定成绩，也要看到不足。/上级对他的工作加以肯定。/他是不是犯人，现在还不能肯定。/答案是对是错，谁也无法肯定。/$
啃	老鼠把门给啃坏了。/馒头硬得啃不动了。/$这篇古文很难懂，我得慢慢啃。/他只学了一年英文就开始啃原文小说了。/这本书真难啃，一天也读不了几页。//$这项艰巨的研究任务，我们啃了三年才啃下来。//$
恳求	她恳求父亲答应她出国留学。/他恳求我不要这样做。/她恳求大夫治好他儿子的病。/经过一番恳求，校长答应了他们的要求。//$
恳谈	
坑	他经常坑人。/我的朋友被人坑了三次了。/小贩坑了他十块钱。/不要用谎话坑小孩子。//$
坑害	坑害了父母和家人。/把女儿坑害了。/不法商贩常常坑害消费者。/我被那家商店坑害过。/他们受到了坑害。//$
坑骗	价格那么高，肯定是坑骗人的。/你要小心，不要被他坑骗了。/这些人坑骗的手段并不高明，但总有人上当。//$
吭	
空运	空运救灾物资。/一次空运了40吨药品。/$
空想	他整天都在空想。/不要空想，要亲自去调查研究。/他是一个喜欢空想的人。/空想是没有用的。/$
恐吓	这样做恐吓不倒我们。/受到坏人的恐吓。/这是恐吓行为。/$
空	把箱子空出来装书。/把房子空出来给客人住。/文章在这儿应该空一行。/他空出一天时问陪客人去参观。/这间屋子先空着别住人。//$
控告	向法院控告。/控告的材料很充分。/经理被人控告了。/他们控告经理贪污。/我要控告那家公司。/$
控诉	控诉不合理的制度。/受害人悲痛地控诉了罪犯的罪行。/对杀害亲人的罪犯提出了强烈的控诉。//$
控制	把权力控制在自己的手中。/罪犯被我们控制住了。/他总是喜欢控制别人。/她控制不住自己的情绪，大声哭起来。//$
抠	把洞里的东西抠出来。/口儿太小，抠不出来。/他用手抠了半天，掉在石头缝儿里的扣子也没抠出来。/脸上起了疙瘩千万别抠，抠破了很容易发炎。//$不要死抠书本儿，要灵活运用。/他抠了半天，这句话的含义还是没弄明白。/这个题目太窄，抠下去也做不出文章。/读书不必总是一字一句地抠。//$
口试	明天下午我们考口试。/口试是考试的一种好形式。/这次口试很难。/他的口试成绩是90分。/老师说，笔试合格的人才能参加口试。//$
口述	你口述，我记录。/这本书由老先生口述，他的学生整理而成。/我们的任务是进行口述，记录是他们的事情。/他对老人口述的情况进行了调查。//$
口译	他口译得很准确。/我喜欢口译工作。/外宾的演讲请他口译。/老师很注重学生的口译训练。/小王笔译水平很高，口译却很一般。/$
扣	把扣子扣上。/扣眼儿太小，扣子扣不上。/$把茶杯扣在盘子上。/等一会儿才吃饭呢，先用碗把菜扣上。/孩子把自己的帽子扣在小猫的头上。/猜猜看，酒杯下面扣着什么呢?//$他的驾驶证被扣了。/坏人被警察扣了起来。/警察把小偷扣在一间屋子里。//$扣了他五百块钱。/把饭钱从工资里扣掉。/答错一道题扣几分?//$
扣留	警察扣留了几个可疑的人。/他被扣留了两个小时。/警察扣留了他的车。//$
扣除	扣除发给职工的工资，厂子里剩不了多少钱。/扣除伙食费和住宿费，他一个月还能剩一千块钱。//$
哭	见到分别了很久的儿子，她激动得哭了。/她在自己的房间里哭了半天。/她眼睛红红的，肯定哭过。/哭得眼睛都肿了。/不要哭了，我们应该尽快想办法解决问题。//$
哭哭啼啼	这孩子总是哭哭啼啼的。/我隐隐约约听到一阵哭哭啼啼的声音。/这么大的孩子了，不要整天哭哭啼啼的!//$
哭泣	里边传来哭泣的声音。/我听到她在低声哭泣。/老人在悲伤地哭泣。/孩子看到妈妈，很快就停止了哭泣。//$
苦笑	他苦笑了一下，没有说什么。/我们问她的时候，她只是苦笑。/他苦笑着说：“全完了。”。/他苦笑一声走了出去。//$
苦于	我很想解决这个问题，但苦于找不到合适的人，所以一直没有行动。/工厂苦于资金不足，只好停产了。/他有很多新的想法，但一直苦于没有人跟他交流。//$
酷爱	我哥哥酷爱旅游。/不少外国人酷爱吃中国菜。//$
夸	人人都夸小王是个好学生。/她很喜欢别人夸她漂亮。/他被大家夸得不好意思了。/他对孩子很严厉，很少夸孩子。//$
夸奖	老师常常夸奖她学习好。/夸奖了他半天。/我们都夸奖他做了一件好事。/老师的夸奖对学生的进步很有帮助。//$
夸大	我们不能夸大一个人的缺点。/别把事实事大了。/这件事的难度被他夸大了。//$
夸耀	老王从不在别人面前夸耀自己的成绩。/小李总是喜欢到处夸耀自己。/取得一点儿小小的成绩有什么值得夸耀的呢?//$
垮	那座老房子突然垮了。/墙垮了下来。/洪水冲垮了大桥。//$长期不锻炼，他的身体垮了。/注意休息，不要把身体累垮了。/他原来那么结实，怎么一下子就垮了?。/你放心，我累不垮。//$
挎	小女孩儿挎着篮子去采花。/她一只手领着孩子．一只胳膊挎着个大包朝车站走去。/姐妹俩挎着胳膊去买东西。/老太太每天挎着老伴儿的胳膊去散步。//$把书包挎在肩膀上。/游客们脖子上都挎着照机。/他腰里挎着一个新手机。/她挎了一个红色的书包。//$
跨	这么宽的沟，你跨得过去跨不过去?。/前脚刚跨进大门，上课铃就响了。/向前跨一步。然后再向右跨一步。/他一步跨上了汽车。/我一步能跨三级台阶。//$他跨在马上照了一张照片。/孩子跨着凳子当马骑。/大桥横跨大江两岸。/这儿要建一座跨海大桥。//$这个项目要跨年度才能完成。//$
会	
宽容	要宽容，不应过分计较。/父亲对我总是很宽容。/我们应该宽容别人的缺点和错误。/多一些宽容，少一些批评。/对年轻人的一些想法、做法，你可以不习惯，但要宽容。//$
宽恕	虽然他一再给家庭造成了损害，可是家里人还是宽恕了他。/这是一个不可宽恕的错误。//$
款待	感谢主人的款待。/我们要热情款待这些来自远方的客人。//$
亏	做生意亏了一万块钱。/我的电脑买亏了，这儿才卖八千块钱，我花了一万。/今年公司亏了，职员的工资都发不了。/他做了认真的复习，可是因为发烧没能参加考试，太亏了。//$放心吧，我亏不了你。/宁肯大人多吃点儿苦，也不能亏了孩子。/我这辈子没有亏过任何人。//$亏你提醒，我才想起来。/亏你帮助我，不然麻烦就大了。/这次亏了你的帮助，要不我真不知道怎么办才好。/亏了李教授的方案，这次试验才取得了成功。/$
亏空	他花钱太多，上个月亏空了2000块。/这个月花亏空了，下月要省着花了。/公司长期亏空，办不下去了。/$
亏损	检查亏损的原因。/亏损了一百万。/这家工厂亏损得厉害，工人都走光了。/因为亏损严重，工厂决定停止生产。//$
窥视	她从门口向房间里窥视。/窥视敌人的行动。/他暗暗地向窗外窥视。/向四周窥视了一会儿，他才偷偷地进了房间。//$
馈赠	这是北京特产，是馈赠亲友的最好礼品。/他每次旅游都买一些礼品回来馈赠亲友。/毕业前，同学们互相馈赠纪念品。//$
捆	把草捆上。/把行李捆起来。/绳子太短，捆不住这么多东西。//$
困^1	老王最近被病困住了，一直不能上班。/这点儿困难就把他困住了。/再大的难题也困不住我们。/公司被资金短缺的问题困住了。/$把敌人困在山沟里。/大雪把他们困在了山里。/小兔子被困在了笼子里。/她不愿意被困在家里，要去找工作。//$
困扰	那件事一直困扰着我。/这几天小李被许多毫无意义的事所困扰。/这件事困扰了她很久了。//$
扩充	扩充教材的内容。/教师队伍在不断扩充。//$
扩大	面积扩大了5000平方米。/生产规模进一步扩大。/读书扩大了我们的眼界。//$
扩建	大力扩建工业基地。/学校正在进行扩建，到处都是挖土机的声音。/道路扩建以后，堵车的现象减少了。//$
扩展	十年内这儿的耕地将扩展到8000万亩。/公司准备扩展经营范围。/从词扩展到词组，从词组扩展到句子。/$
扩张	反对向别的国家扩张领土。//$
括	括号括起来的几个字起说明的作用。/他在这几个名字上括上了括号。//$
阔别	阔别多年，双方的变化都很大。/兄弟阔别十年．没有一点儿消息。//$
拉	我把绳子拉断了。/拉了半天车，累坏了。/他把行李拉到了北京站。/$拉开一段距离。/她故意拉着长声儿说话。/$我朋友拉了20年的大提琴了。//$妈妈，我拉完了。/$他有困难，拉他一把。/$
拉	我的手被小刀拉了个口子。/你用刀把这块玻璃拉成几块儿。/腿上被拉了好几道口子。//$
落	我抄课文的时候落了好几个字。/刚才点名的时候落了小马。/你们出发的时候，叫我一下，别把我落下。/名单上落了两个人．请补上。//$别落了东西。/钢笔落在宿舍了。/昨天我坐车进城。把书包落在公共汽车上了。/我把笔记本落在教室里了。//$别人走在前面，他落下很远。/我因为生病，口语学习落在了别的同学后面。/上星期我去比赛了，落了好几天的课。//$
辣	这个菜里辣椒放多了，辣得我满头大汗。/这种小辣椒辣得我直流眼泪。//$
来	他昨天来了吗?。/我以前没来过这个地方。/你明天来不来?。/教室里来了几个不认识的人。//$拿来一本书。/送了一本书来。/搬上来一张桌子。/把电视抬进来。//$餐馆的服务员问我：："您再来点儿什么?"。/明天下午咱们来一场比赛，怎么样?。/你别干了，让我来!//$小王，你来念课文。/让他来负责这件事情吧!。/老师让我来回答这个问题。/让我来帮你拿行李吧。//$同学们看你来了。/我向你们学习来了。/上级领导到工厂检查工作来了。/王工程师给我们解决技术问题来了。//$
来到	我去年九月来到了中国。/你是什么时候来到这个地方的?//$
来访	欢迎来访的外国客人。/明天有重要客人来访。//$
来往	那家小商店的位置很好，来往的人都要进去看看，买点儿东西。/她把两个人来往的信都拿出来，一封一封地又看了一遍。/$他们俩早就没有来往了。/我跟他没什么来往。/两家人不怎么来往。/经过一段时间的来往，她对小伙子有了一些了解。//$
来源	理论来源于实践。/音乐来源于生活。//$
来不及	七点了，火车快开了，现在去车站来不及了。/我明天回国，来不及去你家看你了。/他起床晚了，来不及吃早饭就上班了。//$
来得及	七点了．火车八点开，现在去火车站还来得及。/别着急，还有半个小时，来得及吃早饭。/他还没来得及说再见，车已经开走了。/$
赖	孩子想让妈妈给买好吃的，赖着不走。/赖在家里不想上学。/快起来吧，别老赖在床上了!//$走错了棋也别赖。/这是事实，想赖也赖不掉。/他想赖掉那笔债。//$这事不能赖老师。/你自己搞错了，怎么能赖我呢?。/明明是你把收音机弄坏了，却要赖别人!//$
拦	前边的路被拦住了。/有几个人拦在路上，不让车辆通过。/我拦了一辆车，把病人送到了医院。/别拦他，让他进去。/$
拦挡	谁也拦挡不了。/前面有什么东西拦挡，车辆过不去。/任何困难也拦挡不住我们。//$
拦截	经过三天三夜，我们终于把洪水拦截住了。/警察把罪犯拦截在一个胡同里。//$
揽	孩子把小猫揽在怀里。/妈妈一下子把孩子揽了过去，紧紧抱在怀里。//$别把责任都揽到自己身上，大家都有错儿。最近揽到一笔大买卖。///$
懒得	我今天心情不好．懒得理他。/累了一天．饭也懒得吃就上床睡觉了。/$
滥用	写文章的时候，不要溢用成语。/这种药不能滥用，否则对身体有害。/$
朗读	老师常常让我们朗读生词和课文。/朗读是学习外语的一种好方法。//$
朗诵	昨天的联欢会上，小王朗诵了一篇散文。/诗人们常常在诗歌朗诵会上朗诵自己的作品。//$
浪费	那个地区人才浪费现象很严重。/他一点儿时间都不肯浪费。///$
捞	在锅里捞了半天，什么也没捞到。/我下河捞到一条大鱼。//$他用个人手中的权力捞了很多钱。/$
劳	劳您跑一趟。/劳您给他带个话。/劳您再说一遍。/$
劳动	每天劳动两个小时。/劳动了一整天，累得我连饭也不想吃了。/$
唠叨	我最不喜欢那些爱唠叨的人。/奶奶一天到晚不停地唠叨。//$
烙	烙得时间太长了，把饼烙煳了。/我妈妈烙的馅儿饼很好吃。/$
落	
乐	他把大家都逗乐了。/老人都乐得合不上嘴。/听了她讲的笑话，大家都乐起来。/听了他的话，我们直乐。//$
乐意	乐意帮助别人。/乐意听老人聊天儿。/只要你乐意，随时都可以报名参加这次旅行。/我自己乐意这么做，你管不着!/$
勒索	不能向老百姓勒索钱财。//$
勒	你把皮带勒紧一点儿。//$
雷鸣	昨晚的雨特别大．中间夹着电闪雷鸣．我一夜没睡好。/$她的报告很精彩，会场上响起了雷鸣般的掌声。/当这位世界有名的音乐家走进会场时，会场上掌声雷鸣。//$
擂	她擂了我好几下。/对方的拳头像雨点一样擂在他身上。//$
垒	院子外边垒了一道墙。/别垒得太高了，挡住了阳光!///$
累计	我们小组八月份累计完成了百分之七十五的工作量。/到现在为止，我已经累计学了3000个生词。/参加一场足球比赛，累计要跑十多公里。//$
类推	这个问题就这样解决，其他差不多的问题可以类推。/讲语法时，有时类推可以，有时类推就错了。/根据这个公式，可以类推出其他几个公式。//$
累	看书看久了很累眼睛。/干这活儿很累人。/虽然不是体力活儿，但是也别累着他。//$累了一天了，该休息休息了。/我父母亲累了大半辈子了，现在该让他们享享福了。//$
冷冻	把鱼冷冻起来。/这种食品容易坏，要冷冻保存。//$
冷笑	她忽然冷笑起来。/听了他的解释后，她冷笑了一声，什么也没说。//$
愣	听到这个消息，她愣了半天没说话。/见了面，我一下子愣住了，没想到会是她。//$
离	离家50多年才回来。//$他们俩结婚才一个月就离了。/婚姻一定要慎重，不能说离就离。//$这儿离北京大约500公里。/现在高回国只有一个星期了。/离考试没几天了，我得抓紧时间复习。//$学汉语离不了这本词典。/离了他我们一样能完成任务。/他的成功离不开自己的努力。/过河离不了船。//$
离别	我离别父母已经二十几年了。/我十八岁离别家乡来到这座城市学习，工作。//$
犁	播种以前要把地犁一遍。/现在有些地区农村还用牛犁地。//$
理	屋子里这么乱，你怎么也不理一理?。/见经理前，他先理了理头发和衣服。//$那人不怎么样，你别理他。/我不愿意理都种人。/那种人你理他干吗?。/我一连叫了他好几声，他都没理我。//$
理会	我理会错了。/$没人理会。/他在那里站了半天，谁也没理会他。/不要理会那些没根据的话。/大家都没理会他的情绪。//$
理解	老师讲的内容很容易理解。/$我对他的行为很不理解。/他这么做是有原因的，大家理解理解他。//$
力求	在气候不利的条件下，我们要力求粮食产量不下降。/他是个十分认真的人，每做一件事都力求完美。//$
力争	去年得了第三名，今年要力争获得第一名。/在按下来的比赛中，我们要力争获得更好的成绩。//$
立	门外立着几个人。/猴子立起来向我要东西吃。//$前边的十字路口立着一块牌子，上面写着"注意安全"。/把柱子立在这儿吧。//$爷爷给我们立下一条规矩，不能欺负小孩子。/小孩子太淘气了，应该给他们立个规矩。/双方立了个协定。//$
立足	那时候我家很穷，社会上没有我们的立足之地。/我们刚刚在这儿立足，又要搬家了。/这些人没有文化，没有技术，在城市里无法立足。/$我们要立足基层，为老百姓服务。/知识分子应该立足于自己的工作，为社会作贡献。//$
利用	中国队利用身高的优势赢得了这场比赛。/我们要合理利用时间。/$不能利用手中的权力来为自己谋取利益。/他还年轻，容易被坏人利用。//$
例如	这所大学的留学生来自世界各地，例如，德国、韩国、日本等国家。/中国体育有些项目很突出，例如乒乓球，有许多世界冠军。/他喜欢各种运动，例如游泳、跑步、打球。//$
例外	这是图书馆的规定，谁也不能例外!。/本公司办公时间为上午九时到下午五时，节日、假日例外。/$
隶属	这个地区以前隶属河北，现在隶属天津。/这所中学隶属于我们的大学。/我不清楚这两个公司之间的隶属关系。//$
连	那座大桥把河两岸连在一起了。/虽然我们离得很远，但是我们的心却连得紧紧的。//$
连接	那是一条连接南北交通的重要铁路。/这两根水管连接得不好，得修一修。//$
连续	我已经连续工作三天了，实在是太累了。/这个队已经连续五次获得了世界冠军。//$
连用	名词和“很”一般不能连用。/这个句子末尾连用了三个感叹号，表达了强烈的感情。/这篇文章主要研究名词连用时的规律。//$
怜悯	我不需要你怜悯我，只要求你能理解我。/对那些生活困难的人，不能仅仅表示怜悯，而应该积极帮助他们。//$
怜爱	那个小男孩儿才一岁多，胖胖的，真叫人怜爱。/女儿又漂亮又懂事，很受父母怜爱。//$
联合	这个集团是由几家公司联合起来的。/这是一次联合行动，请各方面注意配合。//$
联欢	我们班跟他们班今天晚上联欢。/外交部邀请各国驻华外交官参加明天的新年联欢活动。/除夕晚上中外学生联欢，你参加吗?//$
联络	我联络了几个人一起去外地旅行。/大学毕业以后，我们一直没有联络，最近才联系上。//$
联系	我们俩已经好几年没联系了他已经帮我们联系好了旅馆。/你现在跟他还有联系吗?。/你回国以后，咱们之间的联系可别断了。/毕业这么多年了，他们一直还保持着联系。//$
廉政	国家工作人员应该做到廉政爱民。/要廉政就要有一系列的有力措施。/没有廉政就没有政权的稳定。/我们任何时候都要大力提倡廉政。/$
练	他从三岁就开始练杂技。/王老师练太极拳练了几十年了。//$
练习	把昨天学的对话再练习一下儿。/我每天早上练习一个小时太极拳。/不论学什么，反复的练习都是很重要的。/$
炼	/$□炼：锻炼duan4lian4。/冶炼ye3lian4/$
恋	小伙子恋上了那个漂亮姑娘。/我心里暗暗地恋着她。//$
恋爱	他们俩正在恋爱。/小王和小马已经恋爱了好几年了，马上就要结婚了。/$
凉快	太热了，咱们到树下凉快一会儿吧。/咱们把空调打开，凉快凉快。//$
量	我用体温计量了量体温，发烧了。/最近我没量过身高。/你帮我量一下，做一条裤子要用多少布。/你量得准不准?//$
亮	灯亮了。/天还没亮，他就起床了。/我看见远处的灯光亮了两下。/已经夜里十二点了，屋子里还亮着灯。//$把手里的东西亮出来。/歌手唱完以后，评委们都亮出了成绩。/把牌亮出来，让大家看看。//$
亮相	新组成的中国女排今天晚上在体育馆首次亮相。/这是这位歌手第一次在北京亮相。//$
凉	水太烫了，凉一凉再喝吧。/这杯牛奶太热，凉一会儿再给孩子喝。//$
谅解	我们很谅解你们目前的难处。/你们没能按计划完成任务我们表示谅解。//$
晾	天气太潮湿，衣服晾在外面不容易干。/今天有太阳，把刚洗的衣服晾出去吧!//$
撩	孩子把衣服撩上去让大夫检查。/她把裙子往后边撩了撩，坐到了椅子上。/我撩起门帘，走进里屋。/她撩了撩被风吹乱的头发。///$
疗养	我的病虽然已经好了，但是还需要疗养半年。/你的病已经好了，没有必要再住院了，回家疗养疗养就行了。//$
缭绕	。/公园里歌声缭绕，中学生正在举行游园活动。//$
燎原	
聊	我和朋友聊各种各样的话题。/令天咱们聊点儿什么呢?。/他们一聊就是几个钟头。//$
了^1	这事还没了。/$
了解	我很了解他。/要了解一个人需要很长时间。/我刚来，对情况还不太了解。/$领导让我来这儿了解一下儿小王的情况。/老师上课以前应该先把学生的情况了解清楚。/$
燎	火燎着了我的眉毛。/蜡烛把我的头发燎着了。/头发让火燎了一大片。//$
料	这事我真没料到。/真科不到他来得这么快。/事情的发展真是难料。//$
瞭望	登上山顶，瞭望四周，景色非常美。/瞭望远处的天空，心情十分舒畅。//$
咧	咧着嘴哭了起来。/把嘴一咧笑了起来。/听了我说的话，他惊讶得直咧嘴。/脚被石头砸了一下，疼得他直咧嘴。/小王今天很高兴，一直咧着嘴笑。/$
列	写作文时，先列个提纲。/中午请客人吃饭，我到了个菜单，你看看。/请你把参加这次活动的人的名单列出来。/你都需要什么东西，列出来。/客人来的时候都有什么活动，要列清楚。//$小王被列为参加会议的代表。/这件事已经被列到要讨论的问题中了。//$
列举	这样的例子多得很，列举不完。/你知道多少中国少数民族，请列举出来。//$
列入	你的建议已经被列入下个月的活动计划了。/他的名字已经列入代表名单了。//$
裂	西瓜太熟了，一碰就裂开了。/墙已经很旧了，上面裂了很多口子。//$
淋	被雨淋病了。/我没带雨伞，身上被雨淋湿了。/淋了雨容易感冒，快把湿衣服换下来吧。//$
淋浴	我每天早上起床后都要洗淋浴。/宿舍里没有淋浴设备，洗澡得去公共浴室。/老人在淋浴的时候摔倒了。/$
临	临阳台的树开花了。/临江修了一条路。/$
临街	这几间房子都临街。/临街有一排新房子。//$
赁	他想把旧房子赁出去。//$
零售	我们这儿只批发，不零售。/零售的价钱要比批发贵不少。/这家商店的冷饮既批发也零售。//$
领	导游领大家进了博物馆。/你先把客人们领到餐厅去。/你在前边给我们领路吧。/小孩子过马路要大人领着。//$小王的工资已经领走了。/上个月我领到一笔奖金。//$
领导	中国政府正在领导中国人民实现现代化。/这儿人虽然不多，但是不容易领导。/$
领会	大家要深刻领会这次会议的精神。/只要求大家领会这篇文章说的道理，并不要求大家把它背下来。//$
领悟	领悟出他话里的含义。/看样子他还没领悟我的意思。/我一提醒，他马上就领悟了。//$
令	团长令全团立刻集合。/上级令全体官兵马上出发。/$这个消息令他难以相信。/听到这件令人惊讶的事情，我不敢相信自己的耳朵。//$
溜	你先爬上去，然后从木板上溜下来。/小孩子都觉得从坡上往下溜很好玩儿。//$趁妈妈没注意，孩子溜出了家。/会开了一半儿，他就溜了。/小王呢，他溜到哪儿去了?//$
留	你们走吧，我留下看着行李。/大学毕业以后我留在北京工作。/小王，你留一下儿，我有事要跟你说。//$哥哥留我在他家过春节。/我暂留他在我家吃晚饭，可是他一定要走。//$她把画的画儿都送了人，一张都段留。/我每个月的工资都留下一部分，准备买房子。/你别都拿走，给我留下一点儿。//$这是历史留下来的问题。/这件文物是我爸爸留下来的。/全家同意把祖先留下的画捐献给国家。//$
留恋	我现在还十分留恋大学时代的生活。/快要毕业了，我们大家彼此都十分留恋。//$
留步	不用送了，请留步。/您留步吧，别再送了。/请二位留步，我走了。//$
留念	回国之前，同学们互相送礼物留念。/妈妈把自己的戒指给女儿戴上，作为留念。//$
流	听到这个好消息，妈妈高兴得流下了眼泪。/水管子坏了，永流了一地，快找人来修一下吧!//$
流动	那条河被拦住了，水不能流动。/空气流动产生了风。/$现在有些地方人才流动很普遍。/最近公司生意不太好，流动资金不太多。//$
流通	把窗户打开，让空气流通流通!。/你家门窗都关得严严的，空气不流通，对身体不好。/$这是几十年前的硬币，现在已经不流通了。/货币流通得快，说明经济发展得也很快。/这个地区商品流通很快。//$
流亡	他因为参加民族独立运动被迫流亡国外。/他流亡外国几年，最近回到了自己的祖国，结束了流亡生活。//$
流传	这个古老的传说一直流传到今天。/那位老作家的作品流传到了国外。/这个消息很快就流传开了。//$
流行	她很讲究穿着，街上流行什么她穿什么。/这几年北京流行西式快餐。/这种菜前几年在北京流行过。/$
遛	我想出去遛一遛，跟我一起去吗?。/我在操场上遛了一圈儿。/我刚才遛到书店去了。//$那位老大爷每天上午去公园遭鸟。/晚上，附近马路上遛狗的人很多。//$
垄断	这家公司几乎垄断了这一产品一半的市场。/垄断对经济发展不利。//$
笼	大雾笼住了江面。/小屋笼在大火的浓烟中。//$
笼罩	黑云笼罩了天空。/柔和的月光笼罩着大地，夜色十分美丽。/大雾笼罩着村庄，四周什么也看不见。//$
